NP_009346.1		P39718	PEX22_YEAST	reviewed	Peroxisome assembly protein 22 (Peroxin-22)	PEX22 YAL055W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	180
NP_009347.1		Q01574	ACS1_YEAST	reviewed	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	ACS1 YAL054C FUN44	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	713
NP_009348.2		P39719	FLC2_YEAST	reviewed	Flavin carrier protein 2 (FAD transporter 2) (TRP-like ion channel FLC2)	FLC2 YAL053W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	783
NP_009349.3		P39720	OAF1_YEAST	reviewed	Oleate-activated transcription factor 1	OAF1 YAF1 YAL051W FUN43	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1047
NP_009350.1		P39721	AIM2_YEAST	reviewed	Protein AIM2 (Altered inheritance rate of mitochondria protein 2)	AIM2 YAL049C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	246
NP_009351.1		P39722	GEM1_YEAST	reviewed	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	GEM1 YAL048C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	662
NP_009352.2		P39723	SPC72_YEAST	reviewed	Spindle pole component SPC72	SPC72 LDB4 SPI6 YAL047C FUN42	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	622
NP_009353.1		P39724	AIM1_YEAST	reviewed	Altered inheritance of mitochondria protein 1	AIM1 YAL046C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	118
NP_009355.3		P39726	GCSH_YEAST	reviewed	Glycine cleavage system H protein, mitochondrial (Glycine decarboxylase complex subunit H)	GCV3 YAL044C FUN40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170
NP_009356.1		Q01329	PTA1_YEAST	reviewed	Pre-tRNA-processing protein PTA1	PTA1 YAL043C FUN39	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	785
NP_009358.1		P39727	ERV46_YEAST	reviewed	ER-derived vesicles protein ERV46	ERV46 YAL042W FUN9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415
NP_009359.1		P11433	CDC24_YEAST	reviewed	Cell division control protein 24 (Calcium regulatory protein)	CDC24 CLS4 YAL041W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	854
NP_009360.1		P13365	CG13_YEAST	reviewed	G1/S-specific cyclin CLN3	CLN3 DAF1 WHI1 YAL040C FUN10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	580
NP_009361.1		P06182	CCHL_YEAST	reviewed	Cytochrome c heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome-c synthase)	CYC3 YAL039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269
NP_009362.1		P00549	KPYK1_YEAST	reviewed	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	CDC19 PYK1 YAL038W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
NP_009364.1		P39729	RBG1_YEAST	reviewed	Ribosome-interacting GTPase 1 (GTP-binding protein RBG1) (Genetically interacts with ribosomal genes protein 1)	RBG1 FUN11 YAL036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369
NP_009365.1		P39730	IF2P_YEAST	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	FUN12 YAL035W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1002
NP_009367.1		P39731	MTW1_YEAST	reviewed	Kinetochore-associated protein MTW1 (Mis12-like protein)	MTW1 DSN3 NSL2 YAL034W-A YAL034AW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	289
NP_009368.2		P28003	FUN19_YEAST	reviewed	SWIRM domain-containing protein FUN19	FUN19 YAL034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413
NP_009369.1		P28005	POP5_YEAST	reviewed	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5) (RNA-processing protein POP5) (RNase P/MRP 19.6 kDa subunit)	POP5 YAL033W FUN53	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	173
NP_009370.1		P28004	PRP45_YEAST	reviewed	Pre-mRNA-processing protein 45	PRP45 FUN20 YAL032C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379
NP_009371.1		P39732	GIP4_YEAST	reviewed	GLC7-interacting protein 4	GIP4 FUN21 YAL031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	760
NP_009374.1		P39734	HPH2_YEAST	reviewed	Protein HPH2 (Functionally related to TCP1 protein 2) (High pH protein 2)	FRT2 HPH2 YAL028W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528
NP_009375.1		P39735	SAW1_YEAST	reviewed	Single-strand annealing weakened protein 1	SAW1 YAL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
NP_009376.2		P39524	ATC3_YEAST	reviewed	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	DRS2 YAL026C FUN38	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1355
NP_009377.2		P10962	MAK16_YEAST	reviewed	Protein MAK16 (Maintenance of killer protein 16)	MAK16 YAL025C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	306
NP_009378.1		P07866	LTE1_YEAST	reviewed	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	LTE1 EIS4 MSI2 YAL024C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1435
NP_009379.2		P31382	PMT2_YEAST	reviewed	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 (EC 2.4.1.109)	PMT2 FUN25 YAL023C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	759
NP_009380.1		P31381	FUN26_YEAST	reviewed	Nucleoside transporter FUN26	FUN26 YAL022C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	517
NP_009381.1		P31384	CCR4_YEAST	reviewed	Glucose-repressible alcohol dehydrogenase transcriptional effector (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase)	CCR4 YAL021C FUN27	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	837
NP_009382.2		P31386	ATS1_YEAST	reviewed	Protein ATS1 (Alpha-tubulin suppressor 1)	ATS1 YAL020C FUN28 YAL006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333
NP_009383.1		P31380	FUN30_YEAST	reviewed	ATP-dependent helicase FUN30 (EC 3.6.4.12)	FUN30 YAL019W YAL001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1131
NP_009384.1		P31379	LDS1_YEAST	reviewed	Outer spore wall protein LDS1 (Lipid droplets in sporulation protein 1)	LDS1 YAL018C YAL003	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	325
NP_009385.2		P31374	PSK1_YEAST	reviewed	Serine/threonine-protein kinase PSK1 (EC 2.7.11.1) (PAS kinase 1)	PSK1 YAL017W FUN31 YAL002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1356
NP_009386.1		P31383	2AAA_YEAST	reviewed	Protein phosphatase PP2A regulatory subunit A (PR65)	TPD3 YAL016W FUN32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	635
NP_009387.1		P31378	NTH1_YEAST	reviewed	Endonuclease III homolog 1 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycoslyase/DNA-(apurinic or apyrimidinic site) lyase 1) (DNA glycoslyase/AP lyase 1) (Endonuclease III-like glycosylase 1) (Redoxyendonuclease 1)	NTG1 OGG2 SCR1 YAL015C FUN33	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	399
NP_009388.2		P31377	STX8_YEAST	reviewed	Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)	SYN8 UIP2 YAL014C FUN34	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	255
NP_009389.3		P31385	DEP1_YEAST	reviewed	Transcriptional regulatory protein DEP1	DEP1 FUN54 YAL013W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	405
NP_009390.1		P31373	CYS3_YEAST	reviewed	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)	CYS3 CYI1 STR1 YAL012W FUN35	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394
NP_009391.2		P31376	SWC3_YEAST	reviewed	SWR1-complex protein 3	SWC3 FUN36 SWC1 YAL011W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	625
NP_009392.2		P18409	MDM10_YEAST	reviewed	Mitochondrial distribution and morphology protein 10 (Mitochondrial inheritance component MDM10)	MDM10 YAL010C FUN37	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	493
NP_009393.1		P18410	SPO7_YEAST	reviewed	Sporulation-specific protein SPO7	SPO7 YAL009W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	259
NP_009394.1		P18411	FUN14_YEAST	reviewed	Protein FUN14	FUN14 YAL008W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198
NP_009395.1		P39704	ERP2_YEAST	reviewed	Protein ERP2	ERP2 YAL007C FUN54	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
NP_009396.2		P10591	HSP71_YEAST	reviewed	Heat shock protein SSA1 (Heat shock protein YG100)	SSA1 YAL005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642
NP_009398.1		P32471	EF1B_YEAST	reviewed	Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha)	EFB1 TEF5 YAL003W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206
NP_009399.2		P39702	VPS8_YEAST	reviewed	Vacuolar protein sorting-associated protein 8 (Vacuolar protein-targeting protein 8)	VPS8 VPT8 YAL002W FUN15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1274
NP_009400.1		P34111	TFC3_YEAST	reviewed	Transcription factor tau 138 kDa subunit (TFIIIC 138 kDa subunit) (Transcription factor C subunit 3)	TFC3 TSV115 YAL001C FUN24	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1160
NP_009401.1		P39705	NUP60_YEAST	reviewed	Nucleoporin NUP60 (Nuclear pore protein NUP60)	NUP60 FUN17 YAR002W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	539
NP_009402.1		Q05359	ERP1_YEAST	reviewed	Protein ERP1	ERP1 YAR002C-A YAR002A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	219
NP_009403.1		P39706	SWD1_YEAST	reviewed	COMPASS component SWD1 (Complex proteins associated with SET1 protein SWD1) (Set1C component SWD1)	SWD1 CPS50 SAF49 YAR003W FUN16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	426
NP_009404.1		P22336	RFA1_YEAST	reviewed	Replication factor A protein 1 (RF-A protein 1) (DNA-binding protein BUF2) (Replication protein A 69 kDa DNA-binding subunit) (Single-stranded DNA-binding protein)	RFA1 BUF2 RPA1 YAR007C FUN3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	621
NP_009405.1		P39707	SEN34_YEAST	reviewed	tRNA-splicing endonuclease subunit SEN34 (EC 4.6.1.16) (Splicing endonuclease of 34 kDa) (tRNA-intron endonuclease SEN34)	SEN34 YAR008W FUN4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	275
NP_009408.3		P27637	BUD14_YEAST	reviewed	Bud site selection protein 14	BUD14 YAR014C FUN2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709
NP_009409.1		P27616	PUR7_YEAST	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	ADE1 YAR015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	306
NP_009410.1		P22209	KIN3_YEAST	reviewed	Serine/threonine-protein kinase KIN3 (EC 2.7.11.1)	KIN3 NPK1 YAR018C FUN52	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435
NP_009411.2		P27636	CDC15_YEAST	reviewed	Cell division control protein 15 (EC 2.7.11.1)	CDC15 LYT1 YAR019C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	974
NP_009415.1		P39548	YAJ8_YEAST	reviewed	DUP240 protein YAR028W	YAR028W FUN56	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234
NP_009420.1		P80235	CACM_YEAST	reviewed	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)	YAT1 YAR035W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	687
NP_009421.3		P35845	OSH1_YEAST	reviewed	Oxysterol-binding protein homolog 1	SWH1 OSH1 YAR042W YAR044W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1188
NP_009424.1		P32768	FLO1_YEAST	reviewed	Flocculation protein FLO1 (Flocculin-1)	FLO1 FLO2 FLO4 FLO8 YAR050W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1537
NP_009434.1		P35842	PPAB_YEAST	reviewed	Acid phosphatase PHO11 (EC 3.1.3.2) (P56)	PHO11 YAR071W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467
NP_009443.1		P38162	MIX23_YEAST	reviewed	Mitochondrial intermembrane space cysteine motif-containing protein MIX23 (Mitochondrial intermembrane space CX(n)C motif protein of 23 kDa)	MIX23 MIC23 YBL107C YBL0805	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	196
NP_009444.2		P38163	SRO77_YEAST	reviewed	Lethal(2) giant larvae protein homolog SRO77 (Sodium protection protein 2) (Suppressor of RHO3 protein 77)	SRO77 SNI2 SOP2 YBL106C YBL0806	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1010
NP_009445.2		P24583	KPC1_YEAST	reviewed	Protein kinase C-like 1 (PKC 1) (EC 2.7.11.13)	PKC1 HPO2 STT1 YBL105C YBL0807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1151
NP_009446.2		P38164	SEA4_YEAST	reviewed	SEH-associated protein 4	SEA4 YBL104C YBL0808 YBL103C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1038
NP_009447.1		P38165	RTG3_YEAST	reviewed	Retrograde regulation protein 3	RTG3 YBL103C YBL0810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	486
NP_009448.1		P38166	SFT2_YEAST	reviewed	Protein transport protein SFT2	SFT2 YBL102W YBL0812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
NP_009449.1		P38167	ECM21_YEAST	reviewed	Protein ECM21 (Extracellular mutant protein 21)	ECM21 YBL101C YBL0814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1117
NP_009453.2		P07251	ATPA_YEAST	reviewed	ATP synthase subunit alpha, mitochondrial	ATP1 YBL099W YBL0827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	545
NP_009454.1		P38169	KMO_YEAST	reviewed	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	BNA4 YBL098W YBL0828	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	460
NP_009455.3		P38170	CND2_YEAST	reviewed	Condensin complex subunit 2 (Barren homolog) (CAPH homolog)	BRN1 YBL097W YBL0830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	754
NP_009457.1		P38172	MRX3_YEAST	reviewed	MIOREX complex component 3 (Mitochondrial organization of gene expression protein 3)	MRX3 YBL095W YBL0835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	270
NP_009459.1		P25046	MED19_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 19 (Hypoxic gene repressor protein 3) (Mediator complex subunit 19) (Negative regulator of URS2 protein 3) (SNF1 suppressor protein 7)	ROX3 MED19 NUT3 SSN7 YBL093C YBL0837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220
NP_009460.1		P38061	RL32_YEAST	reviewed	60S ribosomal protein L32	RPL32 YBL092W YBL0838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	130
NP_009461.2		Q6Q595	SCS22_YEAST	reviewed	Vesicle-associated membrane protein-associated protein SCS22 (VAMP-associated protein SCS22) (VAP homolog 2)	SCS22 YBL091C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175
NP_009462.2		P38174	MAP2_YEAST	reviewed	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)	MAP2 YBL091C YBL0701	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	421
NP_009463.1		P38175	RT21_YEAST	reviewed	37S ribosomal protein MRP21, mitochondrial	MRP21 MRP50 YBL090W YBL0702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177
NP_009464.2		P38176	AVT5_YEAST	reviewed	Vacuolar amino acid transporter 5	AVT5 YBL089W YBL0703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	459
NP_009465.2		P38110	ATM_YEAST	reviewed	Serine/threonine-protein kinase TEL1 (EC 2.7.11.1) (ATM homolog) (DNA-damage checkpoint kinase TEL1) (Telomere length regulation protein 1)	TEL1 YBL088C YBL0706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2787
NP_009467.1		P38177	YBI6_YEAST	reviewed	Uncharacterized protein YBL086C	YBL086C YBL0714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	466
NP_009468.1		P38041	BOB1_YEAST	reviewed	Protein BOB1 (BEM1-binding protein) (Growth inhibitory protein 7)	BOI1 BOB1 GIN7 YBL085W YBL0717	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	980
NP_009469.2		P38042	CDC27_YEAST	reviewed	Anaphase-promoting complex subunit CDC27 (Anaphase-promoting complex subunit 3) (Cell division control protein 27)	CDC27 APC3 SNB1 YBL084C YBL0718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	758
NP_009471.1		P38179	ALG3_YEAST	reviewed	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	ALG3 RHK1 YBL082C YBL0720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458
NP_009472.1		P38180	YBI1_YEAST	reviewed	Uncharacterized protein YBL081W	YBL081W YBL0722	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	368
